"Category";"SOLAR";"EOLICA";"PCH"
"2021-05-21";173,57677699999994;0;0,7
"2021-05-22";173,58592699999994;0;0,7
"2021-05-24";173,58802699999995;0;0,7
"2021-05-25";173,74292699999995;0;0,715
"2021-05-26";173,87742699999995;0;0,715
"2021-05-27";173,89890699999995;0;0,715
"2021-05-28";174,07020699999995;0;0,715
"2021-05-29";174,10690699999995;0;0,715
"2021-05-30";174,16850699999995;0;0,715
"2021-05-31";174,47907699999996;0;0,715
"2021-06-01";174,66044599999995;0;0,715
"2021-06-02";174,68942599999994;0;0,715
"2021-06-03";174,85483599999995;0;0,715
"2021-06-04";174,89945599999996;0;0,715
"2021-06-05";176,15945599999995;0;0,715
"2021-06-08";176,16288599999996;0;0,715
"2021-06-09";176,17188599999994;0;0,715
"2021-06-10";176,21028599999994;0;0,715
"2021-06-11";176,24997599999995;0;0,715
"2021-06-15";176,27541599999995;0;0,715
"2021-06-16";178,20381599999996;0;0,715
"2021-06-17";178,26399599999996;0;0,715
"2021-06-18";178,29975599999997;0;0,715
"2021-06-21";178,48195599999997;0;0,715
"2021-06-22";178,49695599999995;0;0,715
"2021-06-23";178,67451599999995;0;0,715
"2021-06-24";178,85851599999995;0;0,715
"2021-06-25";179,07395599999995;0;0,715
"2021-06-26";179,10233599999995;0;0,715
"2021-06-27";179,51993599999994;0;0,715
"2021-06-28";179,64313599999994;0;0,715
"2021-06-29";179,64913599999994;0;0,715
"2021-06-30";179,68473599999993;0;0,715
"2021-07-01";179,74593599999994;0;0,715
"2021-07-02";179,87556599999994;0;0,715
"2021-07-06";179,91214599999992;0;0,715
"2021-07-07";179,91924599999993;0;0,715
"2021-07-08";180,15726599999994;0;0,715
"2021-07-09";180,19664599999993;0;0,715
"2021-07-10";180,30832599999994;0;0,715
"2021-07-12";180,55508599999993;0;0,715
"2021-07-13";180,61086599999993;0;0,715
"2021-07-14";180,76521599999992;0;0,715
"2021-07-15";180,99185599999993;0;0,715
"2021-07-16";181,09569599999992;0;0,715
"2021-07-17";181,10949599999992;0;0,715
"2021-07-19";181,1647959999999;0;0,715
"2021-07-21";181,3956059999999;0;0,715
"2021-07-22";181,4640659999999;0;0,715
"2021-07-23";181,5515859999999;0;0,715
"2021-07-24";181,5660859999999;0;0,715
"2021-07-25";181,5855259999999;0;0,715
"2021-07-26";181,5943259999999;0;0,715
"2021-07-27";181,65668599999992;0;0,715
"2021-07-28";181,7020459999999;0;0,715
"2021-07-29";181,8777159999999;0;0,715
"2021-07-30";182,0103459999999;0;0,715
"2021-08-02";182,18866599999993;0;0,715
"2021-08-03";182,27942599999992;0;0,715
"2021-08-04";182,4070859999999;0;0,715
"2021-08-05";182,51036599999992;0;0,715
"2021-08-06";182,5169659999999;0;0,715
"2021-08-07";192,4250959999999;0;0,715
"2021-08-09";192,4369659999999;0;0,715
"2021-08-10";192,4989259999999;0;0,715
"2021-08-11";192,6193959999999;0;0,715
"2021-08-12";193,29423799999992;0;0,715
"2021-08-13";193,46323799999993;0;0,715
"2021-08-14";193,48803799999993;0;0,715
"2021-08-15";193,50368799999993;0;0,715
"2021-08-17";193,54163799999992;0;0,715
"2021-08-18";193,7594679999999;0;0,715
"2021-08-19";194,18076799999992;0;0,715
"2021-08-20";194,1942679999999;0;0,715
"2021-08-21";194,22876799999992;0;0,715
"2021-08-23";194,23086799999993;0;0,715
"2021-08-24";194,34164799999994;0;0,715
"2021-08-25";194,48832799999994;0;0,715
"2021-08-26";194,61596799999995;0;0,715
"2021-08-27";194,63284799999994;0;0,715
"2021-08-28";194,79272799999993;0;0,715
"2021-08-29";194,81412799999993;0;0,715
"2021-08-30";194,91572799999992;0;0,715
"2021-08-31";195,07272799999993;0;0,715
"2021-09-01";195,20789799999991;0;0,715
"2021-09-02";195,38089799999992;0;0,715
"2021-09-03";195,41233999999992;0;0,715
"2021-09-04";195,45299999999992;0;0,715
"2021-09-06";197,14299999999992;0;0,715
"2021-09-07";197,16622999999993;0;0,715
"2021-09-08";197,87187999999992;0;0,715
"2021-09-09";197,8920799999999;0;0,715
"2021-09-10";198,0100799999999;0;0,715
